xgb_prob,xgb_score,target,xgb_pred
0.0004998928860277,934.5751,0,0
0.0001638080072118,934.8608,0,0
4.443161312329798e-08,935.0,0,0
0.0007477748320811,934.3644,0,0
0.0243961136653339,914.2633,0,0
6.5332602302087374e-06,934.9944,0,0
0.0058371816036091,930.0384,0,0
0.0022332617317296,933.1017,0,0
0.0010442388875926,934.1124,0,0
0.0008802139120306,934.2518,0,0
0.0001166338897407,934.9009,0,0
0.0028798836615466,932.5521,0,0
0.0005462604903086,934.5357,0,0
0.0126494825450245,924.2479,0,0
0.3337720618342306,651.2937,0,0
0.9910160778554312,92.6363,0,1
0.9910160778554312,92.6363,0,1
0.9910160778554312,92.6363,0,1
0.9910160778554312,92.6363,0,1
0.0012744095555147,933.9168,0,0
0.0005509789731032,934.5317,0,0
0.0004042487750415,934.6564,0,0
0.0016159242153059,933.6265,0,0
0.0066454632048808,929.3514,0,0
0.9024433196595936,167.9232,0,1
0.0340964872672443,906.018,0,0
0.0022069974348211,933.1241,0,0
0.0001675715647281,934.8576,0,0
0.0018174922795664,933.4551,0,0
0.0017329817923031,933.527,0,0
0.0063381511870532,929.6126,0,0
0.0036672442566537,931.8828,0,0
0.0031736762481456,932.3024,0,0
7.465729296030822e-05,934.9365,0,0
0.0046188815824932,931.074,0,0
0.0076843196536073,928.4683,0,0
2.436329100261229e-05,934.9793,0,0
0.000423773227722,934.6398,0,0
0.0016339090753973,933.6112,0,0
0.0004472807071753,934.6198,0,0
0.0083747738836538,927.8814,0,0
0.0002440465911979,934.7926,0,0
0.0003270338312215,934.722,0,0
0.0020872300461735,933.2259,0,0
0.0034355446433051,932.0798,0,0
0.0005482875021909,934.534,0,0
0.013783013039557,923.2844,0,0
0.0021975952486547,933.132,0,0
0.0036502628966614,931.8973,0,0
0.0031396244456962,932.3313,0,0
0.0047039881515589,931.0016,0,0
0.0009433322461631,934.1982,0,0
0.0015330206211127,933.6969,0,0
3.353832491763004e-06,934.9971,0,0
0.0008131884888906,934.3088,0,0
0.0024775406763398,932.8941,0,0
0.0004645642270854,934.6051,0,0
0.0025000392342528,932.875,0,0
0.0002910325563176,934.7526,0,0
0.0001384170474246,934.8823,0,0
0.0045493350038824,931.1331,0,0
0.0001743018594243,934.8518,0,0
0.0043643347545678,931.2903,0,0
2.9185127858167263e-05,934.9752,0,0
0.0443219585683044,897.3263,0,0
3.580337574849284e-05,934.9696,0,0
0.0006257770118113,934.4681,0,0
0.0027825465276637,932.6348,0,0
0.0040566416482968,931.5519,0,0
0.1123915907773602,839.4671,0,0
0.0046054162176172,931.0854,0,0
8.32232350088354e-05,934.9293,0,0
8.32232350088354e-05,934.9293,0,0
5.081813795601998e-05,934.9568,0,0
5.081813795601998e-05,934.9568,0,0
0.0091742217699093,927.2019,0,0
2.187869163374605e-06,934.9981,0,0
0.0012033161041691,933.9772,0,0
0.0550895621172143,888.1739,0,0
7.44207092229868e-05,934.9367,0,0
0.0007897272589728,934.3287,0,0
0.0058219024661683,930.0514,0,0
0.0021377140138334,933.1829,0,0
0.0004496326597784,934.6178,0,0
0.0002087115088255,934.8226,0,0
0.0195850071608691,918.3527,0,0
0.060250850991265,883.7868,0,0
0.000457006340813,934.6115,0,0
8.384679954329967e-06,934.9929,0,0
0.0270410709063032,912.0151,0,0
0.0022796691456656,933.0623,0,0
0.0006834396570573,934.4191,0,0
3.083663278689308e-05,934.9738,0,0
0.000411290318749,934.6504,0,0
0.0047910708854766,930.9276,0,0
0.0088163303195718,927.5061,0,0
0.0008310406997591,934.2936,0,0
0.0014919305069836,933.7319,0,0
1.3736131135747186e-05,934.9883,0,0
0.0039405706580567,931.6505,0,0
0.0710459739929227,874.6109,0,0
